WKT,nama,deskripsi
"POLYGON ((106.8234755 -6.1714552, 106.8232824 -6.1715405, 106.8230463 -6.1794338, 106.8231322 -6.1800524, 106.8234969 -6.1804578, 106.8271984 -6.1802924, 106.8308784 -6.1802018, 106.831093 -6.1799031, 106.8310071 -6.1794551, 106.8303848 -6.1788151, 106.8306638 -6.1785165, 106.8299128 -6.1777271, 106.8299557 -6.1739938, 106.829827 -6.1735458, 106.8295695 -6.1732898, 106.8291618 -6.1729698, 106.8291618 -6.1724365, 106.8293334 -6.1718818, 106.8290545 -6.1714765, 106.8234755 -6.1714552))",Taman Monas,
"POINT (106.8529248 -6.2373489)",Tebet Eco Park,
